innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
0.4723,0.2081,0.7268,0.4638,0.0000,805.0000,140,Fisher Paykel Healthcare Corporation Limited,2010
1.3942,2.3841,0.8512,1.5494,1.7773,3955.0000,141,Fletcher Building Ltd,2015
0.7285,0.8620,0.3063,0.2775,0.4010,2051.0000,142,Fletcher Building Ltd,2011
1.2457,1.8612,0.6361,0.7975,0.5446,2582.0000,143,Fletcher Building Ltd,2012
1.2448,0.3641,0.8922,1.2176,0.3680,2072.0000,144,Fletcher Building Ltd,2013
1.0034,0.4893,0.4246,0.1917,0.1823,3972.0000,145,Fletcher Building Ltd,2014
0.5405,0.7507,0.5270,0.8227,0.5506,3581.0000,146,Fletcher Building Ltd,2015
1.2494,0.3962,0.6431,0.0076,0.3681,2107.0000,147,Fletcher Building Ltd,2011
0.1903,0.2828,0.3532,0.1779,0.0000,1709.0000,148,Fletcher Building Ltd,2012
0.4472,0.8955,0.7347,0.6005,0.0000,2517.0000,149,Fletcher Building Ltd,2013
1.1297,1.0073,0.5869,1.1607,0.2965,2636.0000,150,Fletcher Building Ltd,2014
1.5192,0.5028,0.6865,0.8538,0.6554,3673.0000,151,Fletcher Building Ltd,2015
0.0000,0.2687,0.0000,0.0000,0.0000,435.0000,152,Goodman Property Trust,2011
0.6575,0.0000,0.1730,0.0526,0.0000,513.0000,153,Goodman Property Trust,2011
1.5181,1.0756,0.7773,0.9613,0.7246,10107.0000,154,Infratil Limited,2013
0.8947,0.7404,0.5993,0.8671,1.1027,1060.0000,155,Infratil Limited,2013
1.6239,0.6136,0.8925,0.9401,2.1838,673.0000,156,Infratil Limited,2014
0.9516,1.5147,1.6171,2.5599,3.0024,551.0000,157,Infratil Limited,2015
0.8789,0.6778,1.5777,0.4007,0.9987,1204.0000,158,Infratil Limited,2012
0.7282,0.0000,0.3985,1.1201,1.1386,418.0000,159,Infratil Limited,2013
0.5452,0.4976,0.4596,1.1252,0.4661,1335.0000,160,Infratil Limited,2014
1.2365,1.0129,0.3160,0.4791,0.7348,1007.0000,161,Infratil Limited,2015
