innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
0.3674,0.7837,1.0125,0.5458,0.5865,2341.0000,112,Commonwealth Bank of Australia,2020
0.5401,0.1771,0.4328,0.1592,0.4722,2449.0000,113,Commonwealth Bank of Australia,2011
0.8455,1.1410,1.0818,0.3367,0.3929,2717.0000,114,Commonwealth Bank of Australia,2012
1.6878,1.5058,0.3856,0.9799,0.1650,3267.0000,115,Commonwealth Bank of Australia,2013
1.2644,0.5321,0.5879,0.4906,0.2456,2603.0000,116,Commonwealth Bank of Australia,2014
1.6086,0.8679,1.0035,0.0752,0.7904,2019.0000,117,Commonwealth Bank of Australia,2015
0.4359,0.5919,0.8195,0.5869,0.2641,2910.0000,118,Commonwealth Bank of Australia,2016
1.1568,0.4670,0.9148,0.6111,0.3446,2549.0000,119,Commonwealth Bank of Australia,2017
1.8484,1.8743,1.3032,0.3093,0.3704,2178.0000,120,Commonwealth Bank of Australia,2018
0.9310,0.5388,0.6737,0.4105,0.7281,2554.0000,121,Commonwealth Bank of Australia,2019
1.2269,0.4694,1.0921,0.4249,0.4016,2215.0000,122,Commonwealth Bank of Australia,2020
1.1646,0.3320,0.7137,0.2240,0.1314,1948.0000,123,Commonwealth Bank of Australia,2021
1.3744,0.0867,0.8606,0.8294,0.0000,1348.0000,124,Commonwealth Bank of Australia,2011
0.0607,0.1144,1.6257,0.1492,0.3737,2104.0000,125,Commonwealth Bank of Australia,2011
0.5845,0.6052,0.1819,0.2564,0.5681,2715.0000,126,Commonwealth Bank of Australia,2012
0.2725,0.7662,0.7933,0.4125,0.7470,1710.0000,127,Commonwealth Bank of Australia,2019
0.6528,0.2040,0.8752,0.8748,1.2972,2075.0000,128,Commonwealth Bank of Australia,2020
0.9252,0.4737,0.8273,0.4415,0.5756,2436.0000,129,Contact Energy Ltd,2011
1.1083,0.0000,0.1670,0.1017,0.1172,866.0000,130,Fisher Paykel Healthcare Corporation Limited,2011
1.3160,0.4318,1.4150,0.3534,0.3007,1107.0000,131,Fisher Paykel Healthcare Corporation Limited,2012
0.7818,0.3500,0.7365,0.0909,0.0886,1145.0000,132,Fisher Paykel Healthcare Corporation Limited,2013
0.8005,0.1788,0.2373,0.3095,0.1591,1170.0000,133,Fisher Paykel Healthcare Corporation Limited,2014
0.6734,0.3254,1.8038,1.4968,0.3757,2026.0000,134,Fisher Paykel Healthcare Corporation Limited,2015
0.4796,0.3439,0.3224,0.1472,0.0000,1390.0000,135,Fisher Paykel Healthcare Corporation Limited,2011
1.5647,0.6246,0.7672,0.6189,0.7911,1148.0000,136,Fisher Paykel Healthcare Corporation Limited,2012
0.2456,0.0000,0.1588,0.2368,0.2923,765.0000,137,Fisher Paykel Healthcare Corporation Limited,2013
1.1107,0.0000,1.2226,0.7072,0.8234,1066.0000,138,Fisher Paykel Healthcare Corporation Limited,2014
0.9041,0.0000,1.4268,0.8833,0.1405,1208.0000,139,Fisher Paykel Healthcare Corporation Limited,2015
0.4861,0.2081,1.2506,0.4638,0.0000,805.0000,140,Fisher Paykel Healthcare Corporation Limited,2010
1.5248,3.7211,1.2078,3.5833,2.5267,3955.0000,141,Fletcher Building Ltd,2015
0.7788,0.8620,0.3596,0.3067,0.4010,2051.0000,142,Fletcher Building Ltd,2011
1.3632,2.4197,0.6578,0.8525,0.9705,2582.0000,143,Fletcher Building Ltd,2012
1.3391,0.4370,1.0614,1.3183,0.3861,2072.0000,144,Fletcher Building Ltd,2013
1.1216,0.5273,0.5021,0.2390,0.1901,3972.0000,145,Fletcher Building Ltd,2014
0.6779,1.0195,0.7016,1.0400,0.6714,3581.0000,146,Fletcher Building Ltd,2015
1.2804,0.3962,0.8515,0.0076,0.3681,2107.0000,147,Fletcher Building Ltd,2011
0.1903,0.2828,0.4003,0.1946,0.0000,1709.0000,148,Fletcher Building Ltd,2012
0.4928,0.9159,0.8902,0.6484,0.0000,2517.0000,149,Fletcher Building Ltd,2013
1.2393,1.0073,0.7688,1.5421,0.2965,2636.0000,150,Fletcher Building Ltd,2014
1.8349,0.5537,0.9424,1.1748,0.8398,3673.0000,151,Fletcher Building Ltd,2015
0.0000,0.2687,0.0000,0.0000,0.0000,435.0000,152,Goodman Property Trust,2011
0.6575,0.0000,0.2173,0.0622,0.0000,513.0000,153,Goodman Property Trust,2011
2.1741,1.2780,1.1855,1.5327,1.0359,10107.0000,154,Infratil Limited,2013
0.8947,0.7404,0.7139,2.3032,1.4956,1060.0000,155,Infratil Limited,2013
1.7395,0.6136,0.9708,2.0170,2.8529,673.0000,156,Infratil Limited,2014
0.9516,1.6312,1.7128,3.0923,3.0704,551.0000,157,Infratil Limited,2015
0.9448,0.6778,1.7882,0.7557,1.0298,1204.0000,158,Infratil Limited,2012
0.7282,0.0000,0.3985,1.5057,1.1386,418.0000,159,Infratil Limited,2013
0.6245,0.5245,0.5761,1.5762,0.5132,1335.0000,160,Infratil Limited,2014
1.3417,1.0129,0.3272,0.9035,0.7995,1007.0000,161,Infratil Limited,2015
2.7298,2.3631,1.2002,0.9280,1.8636,5013.0000,162,Infratil Limited,2012
0.5734,0.7542,0.1944,1.0013,1.2234,1172.0000,163,Infratil Limited,2011
1.1955,1.4160,1.1336,2.2105,1.9486,1202.0000,164,Infratil Limited,2012
0.3659,0.2062,0.9109,0.8104,1.0056,903.0000,165,Infratil Limited,2011
1.3091,0.4594,1.9749,3.1065,1.2592,1218.0000,166,Infratil Limited,2010
1.3934,0.6425,0.5564,1.5257,0.0000,1098.0000,167,Kiwi Income Property Trust,2011
0.7226,0.8273,1.0487,0.3615,1.8570,819.0000,168,Kiwi Income Property Trust,2011
1.8506,2.9624,1.5438,5.6208,1.5647,6495.0000,169,National Australia Bank Limited,2017
1.2769,0.1286,0.4742,1.6261,0.1581,1872.0000,170,National Australia Bank Limited,2010
1.4689,0.1935,1.7960,1.5836,0.5970,2079.0000,171,National Australia Bank Limited,2011
0.8794,1.0380,0.5594,0.1106,0.2269,2325.0000,172,National Australia Bank Limited,2012
0.6682,0.6470,0.9424,0.2362,0.5050,2408.0000,173,National Australia Bank Limited,2013
1.5878,1.6440,1.3335,1.0880,0.8396,3559.0000,174,National Australia Bank Limited,2014
